Disease,County,Year,Sex,Count,Population,Rate,CI.lower,CI.upper,Unstable
Measles,Colusa,2013,Total,0,21665,0.0,0.0,17.025,-
Measles,Colusa,2013,Female,0,10523,0.0,0.0,35.049,-
Measles,Colusa,2013,Male,0,11142,0.0,0.0,33.102,-
Measles,Colusa,2014,Total,0,21606,0.0,0.0,17.072,-
Measles,Colusa,2014,Female,0,10489,0.0,0.0,35.163,-
Measles,Colusa,2014,Male,0,11117,0.0,0.0,33.177,-
Measles,Contra Costa,2001,Total,2,970496,0.206,0.025,0.744,*
Measles,Contra Costa,2001,Female,1,497442,0.201,0.005,1.12,*
Measles,Contra Costa,2001,Male,1,473054,0.211,0.005,1.178,*
Measles,Contra Costa,2002,Total,0,978795,0.0,0.0,0.377,-
Measles,Contra Costa,2002,Female,0,501572,0.0,0.0,0.735,-
Measles,Contra Costa,2002,Male,0,477223,0.0,0.0,0.773,-
Measles,Contra Costa,2003,Total,0,989705,0.0,0.0,0.373,-
Measles,Contra Costa,2003,Female,0,507028,0.0,0.0,0.728,-
Measles,Contra Costa,2003,Male,0,482677,0.0,0.0,0.764,-
Measles,Contra Costa,2004,Total,0,998201,0.0,0.0,0.37,-
Measles,Contra Costa,2004,Female,0,511239,0.0,0.0,0.722,-
Measles,Contra Costa,2004,Male,0,486962,0.0,0.0,0.758,-
Measles,Contra Costa,2005,Total,0,1004230,0.0,0.0,0.367,-
Measles,Contra Costa,2005,Female,0,514168,0.0,0.0,0.717,-
Measles,Contra Costa,2005,Male,0,490062,0.0,0.0,0.753,-
Measles,Contra Costa,2006,Total,0,1010104,0.0,0.0,0.365,-
Measles,Contra Costa,2006,Female,0,517107,0.0,0.0,0.713,-
Measles,Contra Costa,2006,Male,0,492997,0.0,0.0,0.748,-
Measles,Contra Costa,2007,Total,0,1021251,0.0,0.0,0.361,-
Measles,Contra Costa,2007,Female,0,522750,0.0,0.0,0.706,-
Measles,Contra Costa,2007,Male,0,498501,0.0,0.0,0.74,-
Measles,Contra Costa,2008,Total,0,1033292,0.0,0.0,0.357,-
Measles,Contra Costa,2008,Female,0,528831,0.0,0.0,0.698,-
Measles,Contra Costa,2008,Male,0,504461,0.0,0.0,0.731,-
Measles,Contra Costa,2009,Total,0,1043501,0.0,0.0,0.354,-
Measles,Contra Costa,2009,Female,0,533877,0.0,0.0,0.691,-
Measles,Contra Costa,2009,Male,0,509624,0.0,0.0,0.724,-
Measles,Contra Costa,2010,Total,1,1052199,0.095,0.002,0.53,*
Measles,Contra Costa,2010,Female,1,539100,0.185,0.005,1.034,*
Measles,Contra Costa,2010,Male,0,513099,0.0,0.0,0.719,-
Measles,Contra Costa,2011,Total,0,1061197,0.0,0.0,0.348,-
Measles,Contra Costa,2011,Female,0,543641,0.0,0.0,0.679,-
Measles,Contra Costa,2011,Male,0,517556,0.0,0.0,0.713,-
Measles,Contra Costa,2012,Total,0,1069158,0.0,0.0,0.345,-
Measles,Contra Costa,2012,Female,0,547638,0.0,0.0,0.674,-
Measles,Contra Costa,2012,Male,0,521520,0.0,0.0,0.707,-
Measles,Contra Costa,2013,Total,0,1081948,0.0,0.0,0.341,-
Measles,Contra Costa,2013,Female,0,554275,0.0,0.0,0.666,-
Measles,Contra Costa,2013,Male,0,527673,0.0,0.0,0.699,-
Measles,Contra Costa,2014,Total,4,1096637,0.365,0.099,0.934,*
Measles,Contra Costa,2014,Female,0,561929,0.0,0.0,0.656,-
Measles,Contra Costa,2014,Male,4,534708,0.748,0.204,1.915,*
Measles,Del Norte,2001,Total,0,27418,0.0,0.0,13.453,-
Measles,Del Norte,2001,Female,0,12253,0.0,0.0,30.101,-
Measles,Del Norte,2001,Male,0,15165,0.0,0.0,24.322,-
Measles,Del Norte,2002,Total,0,27615,0.0,0.0,13.357,-
Measles,Del Norte,2002,Female,0,12338,0.0,0.0,29.894,-
Measles,Del Norte,2002,Male,0,15277,0.0,0.0,24.144,-
Measles,Del Norte,2003,Total,0,27871,0.0,0.0,13.235,-
Measles,Del Norte,2003,Female,0,12453,0.0,0.0,29.618,-
Measles,Del Norte,2003,Male,0,15418,0.0,0.0,23.923,-
Measles,Del Norte,2004,Total,0,28187,0.0,0.0,13.086,-
Measles,Del Norte,2004,Female,0,12587,0.0,0.0,29.303,-
Measles,Del Norte,2004,Male,0,15600,0.0,0.0,23.644,-
Measles,Del Norte,2005,Total,0,28315,0.0,0.0,13.027,-
Measles,Del Norte,2005,Female,0,12649,0.0,0.0,29.159,-
Measles,Del Norte,2005,Male,0,15666,0.0,0.0,23.544,-
Measles,Del Norte,2006,Total,0,28276,0.0,0.0,13.045,-
Measles,Del Norte,2006,Female,0,12635,0.0,0.0,29.191,-
Measles,Del Norte,2006,Male,0,15641,0.0,0.0,23.582,-
Measles,Del Norte,2007,Total,0,28480,0.0,0.0,12.952,-
Measles,Del Norte,2007,Female,0,12697,0.0,0.0,29.049,-
Measles,Del Norte,2007,Male,0,15783,0.0,0.0,23.37,-
Measles,Del Norte,2008,Total,0,28571,0.0,0.0,12.91,-
Measles,Del Norte,2008,Female,0,12739,0.0,0.0,28.953,-
Measles,Del Norte,2008,Male,0,15832,0.0,0.0,23.297,-
Measles,Del Norte,2009,Total,0,28559,0.0,0.0,12.916,-
Measles,Del Norte,2009,Female,0,12720,0.0,0.0,28.996,-
Measles,Del Norte,2009,Male,0,15839,0.0,0.0,23.287,-
Measles,Del Norte,2010,Total,0,28543,0.0,0.0,12.923,-
Measles,Del Norte,2010,Female,0,12648,0.0,0.0,29.161,-
Measles,Del Norte,2010,Male,0,15895,0.0,0.0,23.205,-
Measles,Del Norte,2011,Total,0,28485,0.0,0.0,12.949,-
Measles,Del Norte,2011,Female,0,12618,0.0,0.0,29.231,-
Measles,Del Norte,2011,Male,0,15867,0.0,0.0,23.246,-
Measles,Del Norte,2012,Total,0,28533,0.0,0.0,12.928,-
Measles,Del Norte,2012,Female,0,12644,0.0,0.0,29.171,-
Measles,Del Norte,2012,Male,0,15889,0.0,0.0,23.214,-
Measles,Del Norte,2013,Total,0,28225,0.0,0.0,13.069,-
Measles,Del Norte,2013,Female,0,12478,0.0,0.0,29.559,-
Measles,Del Norte,2013,Male,0,15747,0.0,0.0,23.423,-
Measles,Del Norte,2014,Total,0,28219,0.0,0.0,13.071,-
Measles,Del Norte,2014,Female,0,12466,0.0,0.0,29.587,-
Measles,Del Norte,2014,Male,0,15753,0.0,0.0,23.414,-
Measles,El Dorado,2001,Total,0,161880,0.0,0.0,2.279,-
Measles,El Dorado,2001,Female,0,80988,0.0,0.0,4.555,-
Measles,El Dorado,2001,Male,0,80892,0.0,0.0,4.56,-
Measles,El Dorado,2002,Total,0,164725,0.0,0.0,2.239,-
Measles,El Dorado,2002,Female,0,82411,0.0,0.0,4.476,-
Measles,El Dorado,2002,Male,0,82314,0.0,0.0,4.481,-
Measles,El Dorado,2003,Total,0,167670,0.0,0.0,2.2,-
Measles,El Dorado,2003,Female,0,83875,0.0,0.0,4.398,-
